lolly: 1.39.5.11
@E=$000000;&;&93%01.82#95132278;@000000
@E=$000000;&;&93%01.82#95132278;@000000
@DD2023042411261304@E=$000010;M;01;@000000
000000;@DD2023042411261304;@
@E=$000010;M;01;@000010
@E=$000018;M;01;@000010
@E=$000018;M;01;@000018
@DD2023042411300004@D113018416C17017A2@D114518316816D1712@D120018316616B16E2@D121518316616A16E2@D123018216416816D2@D124518216216616C2@D130018216216616B2@D131518216216516A2@D13301811611641682@D134518216416516A2@D14001811621641682@D14151811601621662@D143018115E1611642@D144518015B1601642@D150017F15715C1622@D151517F15A15E1622@D153018015B15E1622@D154518015C15F1622@D160018015C15E1622@D161517F15C15E1612@D163017F15B15E1612@D164517F15B15E1602@D170017F15B15E1602@D171517F15A15E1602@D173017F15A15D1602@D174517F15A15D1602@D180017F15A15C1602@D181517F15A15C1602@D183017F15A15C15F2@D184517F15A15C15E2@D190017F15A15C15F2@D191517F15915C15F2@D193017F15915C15E2@D194517F15915C15E2@D200017F15915B15E2@D201517F15815B15E2@D203017F15815B15E2@D204517F15815B15E2@D210017F15815A15E2@D211517F15815A15E2@D213017F15815A15E2@D214517E15815A15D2@D220017E15815A15D2@D221517E15815A15C2@D223017E15815A15D2@D224517E15815A15D2@D230017E15715A15C2@D231517E15715A15C2@D233017E15715A15C2@D234517E15715A15C2@DD2023042500000004@D000017E15615A15C2@D001517E15615915C2@D003017E15615915C2@D004517E15615915C2@D010017E15615915C2@D011517E15615815C2@D013017E15615815B2@D014517E15615815C2@D020017E15615815C2@D021517E15615815B2@D023017E15615815A2@D024517E15615815B2@D030017E15615815C2@D031517E15615815A2@D033017E15515815A2@D034517E15515815A2@D040017E15515815A2@D041517E15515815A2@D043017E15515815A2@D044517E15415815A2@D050017E15515815A2@D051517E15415715A2@D053017D1531561592@D054517D1521561582@D060017D15215615A2@D061517D15415615A2@D063017D15415815B2@D064517D15415715A2@D070017D15315715A2@D071517D15215615A2@D073017D15215615A2@D074517D1511561582@D080017D1521561582@D081517C1501541582@D083017C14F1541582@D084517D15415615E2@DD2023042509000004@D090017D15415916A2@D091517D15615A1642@D09301D515C15E1662@D09451D515C15F1632@D10001D515C15F1612@D10151D415C15E1602@D10301D415A15E15E2@D10451D415A15E15E2@D11001D315C15E1602@D11151D815B15F1642@D11301D815C15F1642@D11451D715C15F1622@D12001D715C1601622@D12151DA15D1601622@D12301DA15D1601622@D12451DA15C16015E2@D13001DA15C15F15E2@D13151DA15C15F15F2@D13301D915C15F1602@D13451D915C15E1602@D14001DA15C15E15E2@D14151DA15C15E15A2@D14301D915A15E1572@D14451D915815C1522@D15001D81541581492@D15151D414D1531402@D15301D114614D1382@D15451CD1401471312@D16001CB13914112A2@D16151CC13213A11C2@D16301CA12B1341142@D16451C812612E1142@D17001C712112A1162@D17151C611E1261152@D17301C311C1221172@D17451BF11811E1162@D18001BD1121191112@D18151BC10E11410E2@D18301BB10A11010C2@D18451BA10810C10A2@D19001B91041081062@D19151B81011041042@D19301B60FC1000FA2@D19451B40F50F80EA2@D20001B20EC0EE0E02@D20151AF0E20E40D42@D20301AC0D80DB0CA2@D20451AA0D00D30C62@D21001A70C90CC0C02@D21151A50C10C40BC2@D21301A30BA0BC0B82@D21451A10B40B60B62@D22001A00B00B00B42@D221519F0AD0AD0B72@D223019E0AC0AB0B92@D224519D0AC0AA0B82@D230019E0AF0AC0B92@D23151A50B40B00C12@D23301A60BA0B50C52@D23451A70BE0BA0C82@DD2023042600000004@D00001A90C10BE0C92@D00151AA0C40C20CA2@D00301AA0C50C40C82@D00451AA0C60C50C62@D01001AA0C40C60C42@D01151AA0C50C60C62@D01301AA0C60C60C82@D01451AA0C60C80CC2@D02001AB0C80C90CC2@D02151AB0C80CA0C82@D02301AA0C80CA0C72@D02451B80C70CA0C62@D03001B80C50C80C02@D03151B80C20C60C02@D03301AA0C00C40C02@D03451AA0BE0C20BC2@D04001A90BB0C00B92@D04151A80B90BE0B72@D04301A80B70BC0B52@D04451A70B40B90B02@D05001A60B20B60AB2@D05151A50AE0B30A92@D05301A40AC0B00A92@D05451A40AA0AE0A82@D06001A30A80AC0A82@D06151A30A60AA0A82@D06301A20A60A90A82@D06451A20A60A80A92@D07001A20A50A80AA2@D07151A20A50A70AA2@D07301A20A40A60A92@D07451A20A40A60A92@D08001A20A40A60AA2@D08151A20A40A60AA2@D08301A20A50A60AA2@D08451A20A60A60AC2@D09001A20A60A70AD2@D09151A20A80A80AE2@D09301A30A80A80AF2@D09451A30AA0A90B02@D10001A30AB0AA0B22@D10151A40AC0AB0B22@D10301A40AD0AC0B42@D10451A40AE0AE0B52@D11001A50B00AE0B62@D11151A50B20B00B82@D11301A50B20B10B82@D11451A60B40B20BA2@D12001A60B50B40BB2@D12151A60B60B50BC2@D12301A70B80B60BD2@D12451A70B90B70BE2@D13001A80BA0B80BF2@D13151A80BB0BA0C02@D13301A80BC0BB0C22@D13451A90BE0BC0C32@D14001A90BF0BD0C42@D14151A90C00BE0C62@D14301AA0C20C00C72@D14451AA0C40C20C82@D15001AB0C40C20CA2@D15151AB0C60C40CA2@D15301AB0C70C50CC2@D15451AC0C80C60CC2@D16001AC0C80C70CD2@D16151AC0CA0C80CE2@D16301AC0CA0C90CE2@D16451AD0CA0CA0CE2@D17001AD0CB0CA0CE2@D17151AD0CC0CA0CE2@D17301AD0CC0CB0CE2@D17451AD0CC0CC0CE2@D18001AD0CC0CC0CF2@D18151AD0CC0CC0CF2@D18301AD0CC0CC0CF2@D18451AD0CC0CC0CF2@D19001AD0CC0CC0CF2@D19151AD0CC0CC0CF2@D19301AD0CC0CC0CE2@D19451AD0CB0CC0CE2@D20001AD0CB0CC0CE2@D20151AD0CA0CC0CC2@D20301AD0CA0CB0CB2@D20451AC0C80CA0CA2@D21001AC0C80CA0CA2@D21151AC0C70C90C92@D21301AC0C60C80C82@D21451AB0C50C80C62@D22001AB0C40C60C62@D22151AB0C30C60C52@D22301AB0C20C40C42@D22451AA0C20C40C32@D23001AA0C00C30C22@D23151AA0C00C20C22@D23301A90BE0C10C12@D23451A90BE0C00C02@DD2023042700000004@D00001A90BD0C00C02@D00151A90BC0BE0BE2@D00301A80BC0BE0BE2@D00451A80BA0BD0BD2@D01001B70BA0BC0BD2@D01151B70B90BC0BC2@D01301B70B80BB0BC2@D01451B70B80BA0BA2@D02001B70B80BA0BA2@D02151B60B70B90B92@D02301B60B60B80B82@D02451B60B60B80B82@D03001B60B60B80B82@D03151B60B50B60B72@D03301B60B40B60B62@D03451B50B40B60B62@D04001B50B40B50B62@D04151B50B30B50B52@D04301B50B20B40B42@D04451B50B20B40B42@D05001B50B20B40B32@D05151B40B10B30B22@D05301B40B00B20B12@D05451B40B00B20B02@D06001B40B00B10B02@D06151B40AF0B00B02@D06301B40AE0B00B02@D06451B30AE0B00B02@D07001B30AE0B00B02@D07151B30AE0AF0B02@D07301B30AE0AF0B02@D07451B30AE0AE0B02@D08001B30AE0AE0B02@D08151B30AD0AE0B12@D08301B30AD0AE0B22@D08451B30AD0AE0B22@D09001B30AE0AE0B32@D09151B30AE0AE0B42@D09301B30AE0AE0B42@D09451B30AE0AF0B52@D10001B30AE0AF0B62@D10151B30AE0B00B62@D10301B30AF0B00B72@D10451B40AF0B00B82@D11001B40B00B00B82@D11151B40B00B10B92@D11301B40B00B20BA2@D11451B40B00B20BA2@D12001B40B10B20BA2@D12151B40B20B20BA2@D12301B40B20B30BB2@D12451B40B20B30BC2@D13001B50B20B40BC2@D13151B50B20B40BC2@D13301B50B30B40BD2@D13451B50B40B50BD2@D14001B50B40B50BD2@D14151B50B40B60BE2@D14301B50B40B60BE2@D14451B50B40B60BE2@D15001B50B50B60BE2@D15151B50B50B60BF2@D15301B50B60B70BF2@D15451B60B60B80BF2@D16001B60B60B80C02@D16151B60B60B80C02@D16301B60B60B80C02@D16451B60B70B80C02@D17001B60B70B90C02@D17151B60B70B90C02@D17301B60B80BA0C02@D17451B60B80BA0C02@D18001B60B80BA0C02@D18151B60B80BA0C12@D18301B60B80BA0C12@D18451B60B80BA0C12@D19001B60B80BA0C12@D19151B60B90BB0C12@D19301B70B90BB0C12@D19451B70BA0BB0C12@D20001B70BA0BB0C02@D20151B70BA0BC0C02@D20301B70BA0BC0C02@D20451B70BA0BC0BF2@D21001B70BA0BC0BE2@D21151B70BA0BC0BE2@D21301B70BA0BB0BE2@D21451B70BA0BC0BE2@D22001B70BA0BB0BE2@D22151B70BA0BB0BE2@D22301B70BA0BB0BE2@D22451B70BA0BB0BE2@D23001B60BA0BB0BE2@D23151B60BA0BA0BE2@D23301B60BA0BB0BE2@D23451B60BA0BB0BE2@DD2023042800000004@D00001B60BA0BA0BE2@D00151B60BA0BA0BE2@D00301B60BA0BA0BE2@D00451B60BA0BA0BE2@D01001B40B90BA0BE2@D01151B30BA0BA0BE2@D01301B30BA0BB0BF2@D01451B30BA0BB0BE2@D02001B30BA0BB0BE2@D02151B30BA0BB0BE2@D02301B30BA0BB0BE2@D02451B30BA0BB0BE2@D03001B30BA0BB0BD2@D03151B30BA0BA0BC2@D03301B30BA0BA0BC2@D03451B30BA0BA0BC2@D04001B30BA0BA0BC2@D04151B30BA0BA0BC2@D04301B30BA0BA0BC2@D04451B30BA0BA0BC2@D05001B30BA0BA0BC2@D05151B30BA0BA0BC2@D05301B30B90BA0BC2@D05451B30B90BA0BC2@D06001B30BA0BA0BD2@D06151B30BA0BA0BD2@D06301B30BA0BA0BE2@D06451B30BA0BA0BE2@D07001B30BA0BA0BE2@D07151B30BA0BB0BE2@D07301B30BA0BB0BE2@D07451B30BA0BA0BD2@D08001B30BA0BA0BE2@D08151B30BA0BB0BE2@D08301B30BA0BB0C02@D08451B30BB0BC0C02@D09001B40BC0BC0C22@D09151B40BC0BD0C42@D09301B40BE0BE0C42@D09451B40BE0BE0C62@D10001B50BF0C00C62@D10151B50C00C00C72@D10301B50C00C10C82@D10451B50C20C20C92@D11001B60C20C30CA2@D11151B60C40C40CB2@D11301B60C40C40CC2@D11451B60C50C60CD2@D12001B70C60C60CE2@D12151B70C70C80D02@D12301B70C80C80D02@D12451B80CA0CA0D22@D13001B80CB0CC0D42@D13151B90CC0CD0D62@D13301B90CE0CE0D72@D13451B90CE0CF0D72@D14001BA0CF0D00D62@D14151BA0D00D00D82@D14301BA0D00D20D82@D14451BA0D10D20D82@D15001BA0D20D20D92@D15151BA0D20D30DA2@D15301BB0D20D40DA2@D15451BB0D30D40D92@D16001BB0D30D40D92@D16151BB0D40D40DA2@D16301BB0D40D50DA2@D16451BB0D40D50DA2@D17001BB0D40D60DA2@D17151BB0D40D60DA2@D17301BB0D40D60DA2@D17451BB0D40D60DA2@D18001BB0D40D60DA2@D18151BB0D40D60DA2@D18301BB0D40D60D92@D18451BB0D40D60D92@D19001BB0D40D60D92@D19151BB0D40D60D92@D19301BB0D40D60D82@D19451BB0D40D50D82@D20001BB0D40D50D82@D20151BB0D30D40D62@D20301BB0D30D40D62@D20451BA0D20D40D52@D21001BA0D20D40D42@D21151BA0D10D20D32@D21301BA0D00D20D22@D21451BA0D00D20D22@D22001BA0D00D10D02@D22151B40CF0D00D02@D22301B40CE0D00D02@D22451B40CE0CF0D02@D23001B40CE0CE0CF2@D23151B40CC0CE0CE2@D23301B30CC0CE0CE2@D23451B30CC0CD0CE2@DD2023042900000004@D00001B30CC0CC0CE2@D00151B30CB0CC0CE2@D00301B30CA0CC0CE2@D00451B30CA0CC0CE2@D01001B30CA0CC0CE2@D01151B30CA0CC0CE2@D01301B30CA0CB0CD2@D01451B30CA0CB0CD2@D02001B30CA0CB0CD2@D02151B30CA0CA0CD2@D02301B30C90CA0CD2@D02451B30C90CA0CC2@D03001B30C90CA0CC2@D03151B20C80CA0CC2@D03301B20C80CA0CC2@D03451B20C80CA0CC2@D04001B20C80CA0CC2@D04151B20C80CA0CC2@D04301B20C80C90CB2@D04451B20C80C90CA2@D05001B20C70C80CA2@D05151B20C60C80CA2@D05301B20C60C80CA2@D05451B20C60C80C92@D06001B20C60C80C82@D06151B20C60C70C82@D06301B10C50C60C82@D06451B10C50C60C82@D07001B10C40C60C82@D07151B10C40C60C82@D07301B10C40C60CA2@D07451B10C50C60CA2@D08001B10C60C60CC2@D08151B20C60C70CE2@D08301B20C70C80CF2@D08451B20C80C80D02@D09001B20C90C90D22@D09151B30CA0CA0D42@D09301B30CC0CB0D52@D09451B30CC0CC0D62@D10001B40CE0CE0D82@D10151B40CF0CF0D92@D10301B40D00D00DA2@D10451B50D20D10DC2@D11001B50D20D20DD2@D11151B50D40D40DE2@D11301B60D50D50E02@D11451B60D60D60E02@D12001B70D80D80E22@D12151B70D80D80E32@D12301B70DA0DA0E42@D12451B80DB0DB0E52@D13001B80DC0DC0E62@D13151B80DD0DD0E82@D13301B90DE0DE0E92@D13451B90E00E00EA2@D14001B90E10E10EC2@D14151BA0E20E20EE2@D14301BA0E40E40EE2@D14451BB0E50E50F02@D15001BB0E60E60F22@D15151BB0E80E80F22@D15301BC0E90E90F42@D15451BC0EA0EA0F42@D16001BD0EB0EB0F62@D16151BD0EC0EC0F62@D16301BD0ED0EE0F62@D16451BD0EE0EE0F62@D17001BE0EE0EF0F62@D17151BE0EF0F00F62@D17301BE0F00F00F62@D17451BE0F00F00F62@D18001BE0F00F10F62@D18151BE0F00F10F62@D18301BE0F00F20F62@D18451BE0F00F20F62@D19001BE0F00F20F62@D19151BE0F00F20F52@D19301BE0F00F20F52@D19451BE0F00F20F42@D20001BE0F00F20F42@D20151BE0F00F10F32@D20301BE0EF0F10F22@D20451BE0EF0F00F22@D21001BE0EE0F00F12@D21151BE0EE0F00F02@D21301BD0EE0EF0F02@D21451BD0ED0EF0F02@D22001BD0EC0EE0EF2@D22151BD0EC0EE0EE2@D22301BD0EC0EE0EE2@D22451BD0EB0ED0EE2@D23001BD0EB0EC0ED2@D23151BD0EA0EC0ED2@D23301BD0EA0EC0EC2@D23451BC0EA0EC0EC2@E=$0010E8;D;2023/04/30,00:00:00+04;@000018
000018;@DD2023042411300004;@
000020;@D113018416C17017A2;@
000028;@D114518316816D1712;@
000030;@D120018316616B16E2;@
000038;@D121518316616A16E2;@
